Ticker,Industry
LFVN,Packaged Foods
STRR,Diagnostics & Research
BSVN,Banks—Regional
TDY,Scientific & Technical Instruments
BCDA,Biotechnology
UROY,Uranium
SCS,Business Equipment & Supplies
FDUS,Asset Management
RERE,Internet Retail
HYZN,Auto Parts
MINM,Communication Equipment
OPOF,Banks—Regional
VVOS,Medical Devices
BDC,Communication Equipment
AJG,Insurance Brokers
BPTS,Unknown
SPGI,Financial Data & Stock Exchanges
DYN,Biotechnology
CCLD,Health Information Services
BHVN,Biotechnology
RBT,Software—Application
TRAK,Software—Application
BHR,REIT—Hotel & Motel
BFH,Credit Services
DBX,Software—Infrastructure
NRP,Thermal Coal
HUBB,Electrical Equipment & Parts
ESSA,Banks—Regional
PRI,Insurance—Life
KNTK,Oil & Gas Midstream
OCX,Diagnostics & Research
TRML,Biotechnology
CPSS,Credit Services
POOL,Industrial Distribution
CLB,Oil & Gas Equipment & Services
HFBL,Banks—Regional
HBI,Apparel Manufacturing
FCF,Banks—Regional
OMEX,Other Industrial Metals & Mining
AIT,Industrial Distribution
SIEN,Unknown
FLYW,Software—Infrastructure
CLEU,Education & Training Services
WKC,Oil & Gas Refining & Marketing
CFG,Banks—Regional
GLYC,Biotechnology
RLGT,Integrated Freight & Logistics
GTN,Broadcasting
CHUY,Restaurants
CCU,Beverages—Brewers
FET,Oil & Gas Equipment & Services
LSDI,Drug Manufacturers—Specialty & Generic
MOD,Auto Parts
STCN,Integrated Freight & Logistics
CMS,Utilities—Regulated Electric
PUMP,Oil & Gas Equipment & Services
WDH,Insurance—Diversified
DRI,Restaurants
WMG,Entertainment
NVS,Drug Manufacturers—General
HOOK,Biotechnology
SEAS,Unknown
KXIN,Auto & Truck Dealerships
TERN,Biotechnology
WRK,Packaging & Containers
APCX,Software—Infrastructure
ROCK,Building Products & Equipment
VC,Auto Parts
CPTK,Unknown
NTBL,Biotechnology
AMTX,Oil & Gas Refining & Marketing
IOVA,Biotechnology
REX,Chemicals
MTH,Residential Construction
CMCSA,Telecom Services
NICE,Software—Application
KURA,Biotechnology
BGNE,Biotechnology
MSC,Resorts & Casinos
GDS,Information Technology Services
CDT,Biotechnology
CTXR,Biotechnology
JOBY,Airports & Air Services
UI,Communication Equipment
SBR,Oil & Gas Midstream
DELL,Computer Hardware
RRR,Resorts & Casinos
VERA,Biotechnology
AHG,Medical Distribution
SAVA,Biotechnology
ATNF,Biotechnology
BDL,Restaurants
OPT,Biotechnology
SPHR,Entertainment
FVCB,Banks—Regional
NOMD,Packaged Foods
ADRT,Shell Companies
CNS,Asset Management
GHIX,Shell Companies
RH,Specialty Retail
SNCY,Airlines
JVA,Packaged Foods
PNR,Specialty Industrial Machinery
FTII,Shell Companies
TBI,Staffing & Employment Services
OIS,Oil & Gas Equipment & Services
BBDO,Banks—Regional
MYPS,Electronic Gaming & Multimedia
DUO,Real Estate Services
GD,Aerospace & Defense
SCHW,Capital Markets
SB,Marine Shipping
REBN,Restaurants
TEL,Electronic Components
PTCT,Biotechnology
GNPX,Biotechnology
PLG,Other Precious Metals & Mining
GBCI,Banks—Regional
PPHP,Shell Companies
GB,Software—Infrastructure
DXLG,Apparel Retail
AZZ,Specialty Business Services
ACHR,Aerospace & Defense
HUBG,Integrated Freight & Logistics
NVAX,Biotechnology
INFA,Software—Infrastructure
FBIO,Biotechnology
CSIQ,Solar
NTNX,Software—Infrastructure
FWRG,Restaurants
ALKT,Software—Application
INVZ,Auto Parts
SNES,Specialty Chemicals
NCSM,Oil & Gas Equipment & Services
RPM,Specialty Chemicals
CRH,Building Materials
TCMD,Medical Devices
NEXN,Advertising Agencies
SLNO,Biotechnology
PBYI,Biotechnology
IPI,Agricultural Inputs
BOTJ,Banks—Regional
AMSC,Specialty Industrial Machinery
BFI,Restaurants
LMNR,Farm Products
EMR,Specialty Industrial Machinery
BTCS,Capital Markets
VISL,Communication Equipment
TPIC,Specialty Industrial Machinery
EDR,Entertainment
LGMK,Health Information Services
ODP,Specialty Retail
TPET,Oil & Gas E&P
NEWP,Other Precious Metals & Mining
AYX,Unknown
ANVS,Biotechnology
MANH,Software—Application
GLPG,Biotechnology
HWH,Leisure
CHH,Lodging
LCUT,"Furnishings, Fixtures & Appliances"
BLFY,Banks—Regional
BACK,Medical Care Facilities
SGMT,Biotechnology
ITW,Specialty Industrial Machinery
HOUS,Real Estate Services
OBDC,Credit Services
SMPL,Packaged Foods
AFCG,REIT—Specialty
VCIG,Consulting Services
FBMS,Banks—Regional
ANY,Software—Application
LINK,Electronic Components
IPX,Other Industrial Metals & Mining
VBFC,Banks—Regional
NXE,Uranium
LAAC,Other Industrial Metals & Mining
MNTK,Utilities—Diversified
VVI,Specialty Business Services
GPAK,Specialty Business Services
ECOR,Medical Devices
KMPR,Insurance—Property & Casualty
RACY,Unknown
MLEC,Biotechnology
CTMX,Biotechnology
RCKY,Footwear & Accessories
MTSI,Semiconductors
BR,Information Technology Services
GATO,Other Precious Metals & Mining
K,Packaged Foods
SMFG,Banks—Diversified
EBF,Business Equipment & Supplies
AAP,Specialty Retail
NGNE,Biotechnology
NKE,Footwear & Accessories
OWL,Asset Management
CWK,Real Estate Services
BILI,Electronic Gaming & Multimedia
GSK,Drug Manufacturers—General
BUD,Beverages—Brewers
TRN,Railroads
CNF,Mortgage Finance
VVV,Auto & Truck Dealerships
ADC,REIT—Retail
ICL,Agricultural Inputs
RCI,Telecom Services
TRNO,REIT—Industrial
RAIL,Railroads
DHC,REIT—Healthcare Facilities
BBIO,Biotechnology
IXAQ,Shell Companies
TCX,Software—Infrastructure
JAN,Waste Management
INFY,Information Technology Services
MPC,Oil & Gas Refining & Marketing
SSRM,Gold
CSWI,Specialty Industrial Machinery
SFNC,Banks—Regional
BANF,Banks—Regional
CREG,Utilities—Renewable
IDT,Telecom Services
BOSC,Communication Equipment
MFA,REIT—Mortgage
HRZN,Asset Management
SA,Gold
PGRE,REIT—Office
BATRK,Entertainment
SWK,Tools & Accessories
TMO,Diagnostics & Research
MANU,Entertainment
STGW,Advertising Agencies
UDR,REIT—Residential
COKE,Beverages—Non-Alcoholic
ADP,Staffing & Employment Services
CTV,Advertising Agencies
BYD,Resorts & Casinos
RGA,Insurance—Reinsurance
BUR,Asset Management
OUT,REIT—Specialty
XPRO,Oil & Gas Equipment & Services
LBRT,Oil & Gas Equipment & Services
FPH,Real Estate—Development
RGTI,Computer Hardware
KNW,Scientific & Technical Instruments
UNFI,Food Distribution
NNN,REIT—Retail
SEDA,Shell Companies
WIT,Information Technology Services
FUTU,Capital Markets
CMCL,Gold
MTBL,Unknown
BOKF,Banks—Regional
PCRX,Drug Manufacturers—Specialty & Generic
RHE,Medical Care Facilities
KZR,Biotechnology
FEXD,Shell Companies
GNTY,Banks—Regional
MODV,Medical Care Facilities
IESC,Engineering & Construction
IE,Copper
ZUO,Software—Infrastructure
ACDC,Oil & Gas Equipment & Services
ECC,Asset Management
BRKH,Shell Companies
CULL,Banks—Regional
BZFD,Internet Content & Information
GVP,Software—Application
ERAS,Biotechnology
CNET,Advertising Agencies
INDP,Biotechnology
ACET,Biotechnology
UBSI,Banks—Regional
TT,Building Products & Equipment
KELYB,Staffing & Employment Services
GNTA,Biotechnology
AZN,Drug Manufacturers—General
PSNY,Auto Manufacturers
TNL,Travel Services
BOCN,Shell Companies
GAMB,Gambling
XMTR,Specialty Industrial Machinery
ETR,Utilities—Regulated Electric
ICCH,Insurance—Specialty
NRIX,Biotechnology
TXO,Oil & Gas E&P
STEL,Banks—Regional
IBKR,Capital Markets
VVPR,Solar
ALLR,Biotechnology
GROV,Household & Personal Products
TFX,Medical Instruments & Supplies
UBCP,Banks—Regional
KMX,Auto & Truck Dealerships
AREN,Internet Content & Information
SLQT,Insurance Brokers
JYNT,Medical Care Facilities
TRUE,Internet Content & Information
HFWA,Banks—Regional
ZION,Banks—Regional
CLVR,Drug Manufacturers—Specialty & Generic
CLRB,Biotechnology
YTEN,Agricultural Inputs
HR,REIT—Healthcare Facilities
YSG,Household & Personal Products
DAIO,Electronic Components
BOWN,Shell Companies
SND,Oil & Gas Equipment & Services
VEV,Auto Manufacturers
ARRW,Unknown
AMWL,Health Information Services
LMND,Insurance—Property & Casualty
SIMO,Semiconductors
AMKR,Semiconductor Equipment & Materials
GLLI,Shell Companies
GCT,Software—Infrastructure
WIMI,Advertising Agencies
MCHX,Advertising Agencies
IOT,Software—Infrastructure
LGF.A,Unknown
UTHR,Biotechnology
SGBX,Metal Fabrication
SZZL,Unknown
IDXX,Diagnostics & Research
LRMR,Biotechnology
CART,Internet Retail
SIGI,Insurance—Property & Casualty
IONQ,Computer Hardware
WSO.B,Unknown
KALV,Biotechnology
FBYD,Conglomerates
CAAP,Airports & Air Services
MEGL,Capital Markets
L,Insurance—Property & Casualty
SUI,REIT—Residential
OMF,Credit Services
TAST,Restaurants
NSA,REIT—Industrial
OESX,"Furnishings, Fixtures & Appliances"
ZG,Internet Content & Information
LEVI,Apparel Manufacturing
VWE,Beverages—Wineries & Distilleries
CCB,Banks—Regional
AER,Rental & Leasing Services
ETNB,Biotechnology
PTEN,Oil & Gas Drilling
EHC,Medical Care Facilities
ELWS,Software—Application
BTCY,Medical Devices
CNTX,Biotechnology
ADSK,Software—Application
VYGR,Biotechnology
BTG,Gold
INVA,Biotechnology
PLPC,Electrical Equipment & Parts
LOB,Banks—Regional
LGIH,Residential Construction
PSHG,Marine Shipping
OLLI,Discount Stores
NN,Software—Infrastructure
UTMD,Medical Instruments & Supplies
BDSX,Diagnostics & Research
SIRI,Entertainment
GIII,Apparel Manufacturing
TV,Telecom Services
AWIN,Scientific & Technical Instruments
EVBG,Software—Application
AXON,Aerospace & Defense
NNAG,Shell Companies
BOC,Conglomerates
KA,Biotechnology
CNK,Entertainment
AMH,REIT—Residential
APP,Software—Application
UEC,Uranium
HES,Oil & Gas E&P
BCSA,Shell Companies
BDTX,Biotechnology
TWST,Diagnostics & Research
PFGC,Food Distribution
PUBM,Software—Application
RNG,Software—Application
IPAR,Household & Personal Products
BYNO,Shell Companies
HON,Conglomerates
BTI,Tobacco
JMIA,Internet Retail
MNPR,Biotechnology
CALT,Biotechnology
BK,Asset Management
APWC,Electrical Equipment & Parts
RDZN,Software—Application
BCPC,Specialty Chemicals
LEN.B,Unknown
NXTC,Biotechnology
OCC,Communication Equipment
DTSS,Software—Infrastructure
CHEF,Food Distribution
SHOT,Beverages—Non-Alcoholic
SLVM,Paper & Paper Products
ZJYL,Medical Instruments & Supplies
KFRC,Staffing & Employment Services
KFFB,Banks—Regional
BMR,Software—Application
REAL,Luxury Goods
CNC,Healthcare Plans
GBDC,Asset Management
MTN,Resorts & Casinos
AL,Rental & Leasing Services
AIV,REIT—Residential
CLIR,Pollution & Treatment Controls
ENLV,Biotechnology
XENE,Biotechnology
EC,Oil & Gas Integrated
CBRE,Real Estate Services
BHB,Banks—Regional
WEX,Software—Infrastructure
DSX,Marine Shipping
GSAT,Telecom Services
TARS,Biotechnology
AMD,Semiconductors
ELVN,Biotechnology
CPS,Auto Parts
VNCE,Apparel Manufacturing
MTNB,Biotechnology
LSXMK,Broadcasting
BNR,Diagnostics & Research
PEGY,Solar
HAYN,Metal Fabrication
PAYS,Software—Infrastructure
IHS,Telecom Services
VLD,Computer Hardware
AGX,Engineering & Construction
OCUL,Biotechnology
PIII,Medical Care Facilities
DASH,Internet Content & Information
EMLD,Shell Companies
TOON,Entertainment
BRLT,Luxury Goods
D,Utilities—Regulated Electric
IRWD,Drug Manufacturers—Specialty & Generic
SLN,Biotechnology
TRV,Insurance—Property & Casualty
BITE,Shell Companies
SLND,Engineering & Construction
FIZZ,Beverages—Non-Alcoholic
CTSO,Medical Devices
PRO,Software—Application
GOOG,Internet Content & Information
RPTX,Biotechnology
ET,Oil & Gas Midstream
PETQ,Drug Manufacturers—Specialty & Generic
CRVO,Biotechnology
BYRN,Aerospace & Defense
FBP,Banks—Regional
FICO,Software—Application
PDD,Internet Retail
SKYW,Airlines
WDFC,Specialty Chemicals
BHLB,Banks—Regional
CRDF,Biotechnology
NWN,Utilities—Regulated Gas
EGOX,Auto Manufacturers
CR,Specialty Industrial Machinery
TECH,Biotechnology
B,Specialty Industrial Machinery
NKLA,Farm & Heavy Construction Machinery
S,Software—Infrastructure
GMRE,REIT—Healthcare Facilities
HZO,Specialty Retail
GIFI,Metal Fabrication
ZIP,Staffing & Employment Services
SMSI,Software—Application
AKR,REIT—Retail
PEBK,Banks—Regional
CPE,Unknown
VTR,REIT—Healthcare Facilities
UGRO,Farm & Heavy Construction Machinery
BATRA,Entertainment
VANI,Biotechnology
PRA,Insurance—Property & Casualty
MTR,Oil & Gas E&P
VAQC,Unknown
CWCO,Utilities—Regulated Water
GLBZ,Banks—Regional
BLEU,Shell Companies
OSPN,Software—Infrastructure
ARMP,Biotechnology
CTOS,Rental & Leasing Services
DBRG,Real Estate Services
OPFI,Credit Services
LW,Packaged Foods
EMX,Other Industrial Metals & Mining
CYAN,Packaged Foods
CNDT,Information Technology Services
MGNX,Biotechnology
IMVT,Biotechnology
NBR,Oil & Gas Drilling
BECN,Industrial Distribution
SBXC,Shell Companies
FORD,Footwear & Accessories
STEP,Asset Management
GEG,Asset Management
MAIA,Biotechnology
ZH,Internet Content & Information
FBIN,Building Products & Equipment
PKG,Packaging & Containers
LITE,Communication Equipment
NGG,Utilities—Regulated Electric
OSA,Medical Devices
ENTG,Semiconductor Equipment & Materials
GMDA,Biotechnology
BLTE,Biotechnology
LYEL,Biotechnology
ATEN,Software—Infrastructure
CFR,Banks—Regional
TALK,Health Information Services
MITT,REIT—Mortgage
HHGC,Shell Companies
ACLX,Biotechnology
ABVX,Biotechnology
EVGN,Biotechnology
KERN,Unknown
MARX,Shell Companies
TEF,Telecom Services
SIFY,Telecom Services
LXP,REIT—Industrial
ALRN,Biotechnology
WSBC,Banks—Regional
LL,Home Improvement Retail
VVX,Aerospace & Defense
CCEL,Medical Care Facilities
AOS,Specialty Industrial Machinery
ASO,Specialty Retail
EVCM,Software—Infrastructure
IMAX,Entertainment
BETR,Mortgage Finance
RGNX,Biotechnology
BKTI,Communication Equipment
QSG,Education & Training Services
BGS,Packaged Foods
WIRE,Electrical Equipment & Parts
ALGT,Airlines
DMK,Unknown
PHAT,Biotechnology
GPK,Packaging & Containers
KLAC,Semiconductor Equipment & Materials
YGF,Unknown
UFI,Textile Manufacturing
IONM,Medical Care Facilities
NMIH,Insurance—Specialty
FHN,Banks—Regional
JXN,Insurance—Life
STOK,Biotechnology
LTBR,Electrical Equipment & Parts
GEF,Packaging & Containers
AIZ,Insurance—Specialty
AMX,Telecom Services
GFF,Conglomerates
BMTX,Software—Application
SATL,Aerospace & Defense
SNX,Electronics & Computer Distribution
VTMX,Real Estate—Development
RNGR,Oil & Gas Equipment & Services
TOL,Residential Construction
LNZA,Waste Management
MCVT,Credit Services
UP,Airports & Air Services
CHE,Medical Care Facilities
EVTV,Auto Manufacturers
FFIC,Banks—Regional
LIPO,Biotechnology
E,Oil & Gas Integrated
EGLE,Unknown
OSI,Shell Companies
LND,Farm Products
NKTR,Biotechnology
SDRL,Oil & Gas Drilling
RIOT,Capital Markets
FGH,Unknown
WLFC,Rental & Leasing Services
AHCO,Medical Devices
GDEN,Resorts & Casinos
FMX,Beverages—Brewers
SPR,Aerospace & Defense
YIBO,Computer Hardware
GCTK,Medical Instruments & Supplies
INTR,Banks—Regional
PLMI,Shell Companies
ZCAR,Rental & Leasing Services
PACB,Medical Devices
UCBI,Banks—Regional
TNXP,Biotechnology
FFBC,Banks—Regional
MFIC,Asset Management
RBA,Specialty Business Services
MHUA,Medical Instruments & Supplies
MTRN,Other Industrial Metals & Mining
MG,Security & Protection Services
QFIN,Credit Services
ALLE,Security & Protection Services
TENB,Software—Infrastructure
KRTX,Unknown
KSCP,Security & Protection Services
MVLA,Software—Application
IMRX,Biotechnology
STIM,Diagnostics & Research
GEL,Oil & Gas Midstream
TLK,Telecom Services
BABA,Internet Retail
BIP,Utilities—Diversified
DEI,REIT—Office
JRVR,Insurance—Specialty
SLI,Other Industrial Metals & Mining
BSY,Software—Application
CITE,Shell Companies
GGAL,Banks—Regional
FANG,Oil & Gas E&P
AX,Banks—Regional
MARPS,Oil & Gas Midstream
SWIN,Capital Markets
PM,Tobacco
FCUV,Scientific & Technical Instruments
BHF,Insurance—Life
STLA,Auto Manufacturers
ANF,Apparel Retail
ALTO,Specialty Chemicals
NTST,REIT—Retail
PLD,REIT—Industrial
DVA,Medical Care Facilities
DRTS,Biotechnology
LIDR,Software—Infrastructure
EVGO,Specialty Retail
VIPS,Internet Retail
CYBN,Biotechnology
BLRX,Biotechnology
RLJ,REIT—Hotel & Motel
WST,Medical Instruments & Supplies
GBBK,Shell Companies
UPST,Credit Services
AWR,Utilities—Regulated Water
LOMA,Building Materials
BKE,Apparel Retail
PROK,Biotechnology
PMEC,Specialty Business Services
CALM,Farm Products
NCNC,Auto Parts
CRMT,Auto & Truck Dealerships
VSTO,Leisure
VERI,Software—Infrastructure
CDMO,Biotechnology
BNGO,Medical Instruments & Supplies
JACK,Restaurants
PJT,Capital Markets
CHCO,Banks—Regional
USCT,Shell Companies
USAS,Other Industrial Metals & Mining
NWPX,Metal Fabrication
ABT,Medical Devices
BV,Specialty Business Services
FHLT,Shell Companies
QNST,Advertising Agencies
CRVL,Insurance Brokers
SR,Utilities—Regulated Gas
VCSA,Software—Application
HBM,Copper
GFL,Waste Management
TRIN,Credit Services
DM,Computer Hardware
EQNR,Oil & Gas Integrated
PEN,Medical Devices
DERM,Drug Manufacturers—Specialty & Generic
POL,Unknown
FOR,Real Estate—Development
ASTS,Communication Equipment
BNRE,Insurance—Reinsurance
MTEK,Electronic Components
NTAP,Computer Hardware
TXMD,Drug Manufacturers—Specialty & Generic
SID,Steel
PBBK,Banks—Regional
GLBS,Marine Shipping
SSBK,Banks—Regional
ORLA,Gold
USCB,Banks—Regional
NGM,Unknown
ERO,Copper
GTX,Auto Parts
GMED,Medical Devices
FIS,Information Technology Services
FTV,Scientific & Technical Instruments
CENN,Auto Manufacturers
CNNE,Restaurants
ACNB,Banks—Regional
COLB,Banks—Regional
BYON,Internet Retail
TCOM,Travel Services
CELU,Biotechnology
DIS,Entertainment
COE,Education & Training Services
WOOF,Specialty Retail
CRI,Apparel Retail
ALCC,Shell Companies
SCL,Specialty Chemicals
ORGN,Chemicals
GLPI,REIT—Specialty
PRQR,Biotechnology
PBAX,Unknown
IRRX,Shell Companies
PROP,Capital Markets
EPR,REIT—Specialty
YI,Medical Distribution
VFF,Farm Products
NUWE,Medical Devices
CLMB,Electronics & Computer Distribution
GPCR,Biotechnology
CRON,Drug Manufacturers—Specialty & Generic
OAKU,Shell Companies
FRD,Steel
MODG,Leisure
FIVN,Software—Infrastructure
VALE,Other Industrial Metals & Mining
WRAP,Scientific & Technical Instruments
UPC,Drug Manufacturers—Specialty & Generic
MDXG,Biotechnology
ANTX,Biotechnology
GEVO,Specialty Chemicals
KB,Banks—Regional
EZGO,Recreational Vehicles
HHS,Conglomerates
GLSI,Biotechnology
HRTX,Biotechnology
CRNC,Software—Application
NPK,Aerospace & Defense
EVEX,Aerospace & Defense
PYPL,Credit Services
INMD,Medical Devices
LOPE,Education & Training Services
HTOO,Utilities—Renewable
DAC,Marine Shipping
DINO,Oil & Gas Refining & Marketing
VIV,Telecom Services
UFPT,Medical Devices
UAL,Airlines
HLIO,Specialty Industrial Machinery
FL,Apparel Retail
OVV,Oil & Gas E&P
PUCK,Shell Companies
MIST,Biotechnology
KRMD,Medical Instruments & Supplies
AIM,Biotechnology
HIMS,Household & Personal Products
PLOW,Auto Parts
TSLX,Asset Management
WMS,Building Products & Equipment
SENEB,Packaged Foods
NKTX,Biotechnology
CYTK,Biotechnology
MRCY,Aerospace & Defense
AOMR,REIT—Mortgage
SSBI,Banks—Regional
PSO,Publishing
IPGP,Semiconductor Equipment & Materials
RXT,Software—Infrastructure
ONCY,Biotechnology
CBAT,Electrical Equipment & Parts
FISI,Banks—Regional
CPIX,Drug Manufacturers—Specialty & Generic
AJX,REIT—Mortgage
LLY,Drug Manufacturers—General
BANX,Asset Management
SATS,Communication Equipment
AMC,Entertainment
OCFT,Software—Application
ACGL,Insurance—Diversified
SEM,Medical Care Facilities
ARQT,Biotechnology
ELUT,Medical Devices
RXRX,Biotechnology
AURA,Biotechnology
RDY,Drug Manufacturers—Specialty & Generic
SWTX,Biotechnology
PRPO,Diagnostics & Research
CAPR,Biotechnology
IPDN,Staffing & Employment Services
LOOP,Specialty Chemicals
CXDO,Telecom Services
NVFY,"Furnishings, Fixtures & Appliances"
BNZI,Software—Application
FREE,Packaged Foods
TURN,Asset Management
XYF,Credit Services
ISPR,Tobacco
PHIN,Auto Parts
VSAT,Communication Equipment
GCO,Apparel Retail
CNFR,Insurance—Property & Casualty
MBC,"Furnishings, Fixtures & Appliances"
REVB,Biotechnology
FXNC,Banks—Regional
CMCM,Internet Content & Information
MKTX,Capital Markets
SAGE,Biotechnology
NSSC,Security & Protection Services
PFC,Banks—Regional
MWA,Specialty Industrial Machinery
DSGR,Industrial Distribution
TRVN,Biotechnology
USAU,Gold
LAZR,Auto Parts
IMNM,Biotechnology
WATT,Scientific & Technical Instruments
ATIF,Capital Markets
ELPC,Utilities—Diversified
KALU,Aluminum
RNA,Biotechnology
CODX,Medical Devices
GCBC,Banks—Regional
AKTX,Biotechnology
MACA,Shell Companies
HRB,Personal Services
MOMO,Internet Content & Information
LIND,Travel Services
MIDD,Specialty Industrial Machinery
FSS,Pollution & Treatment Controls
ARCO,Restaurants
WBUY,Internet Retail
LEU,Uranium
ODC,Specialty Chemicals
AIU,Education & Training Services
SNN,Medical Devices
AOUT,Leisure
SENS,Medical Devices
BBVA,Banks—Diversified
CASA,Unknown
TRIP,Travel Services
WRAC,Unknown
SYBT,Banks—Regional
KMT,Tools & Accessories
MXCT,Medical Devices
TENK,Shell Companies
VTRU,Education & Training Services
BANL,Oil & Gas Midstream
WKME,Software—Application
PAAS,Gold
ATXS,Biotechnology
CMAX,Health Information Services
VTNR,Oil & Gas Refining & Marketing
SNTG,Credit Services
ARLO,Building Products & Equipment
PK,REIT—Hotel & Motel
ASGN,Information Technology Services
HRTG,Insurance—Property & Casualty
CBZ,Specialty Business Services
UTL,Utilities—Diversified
SBLK,Marine Shipping
QCOM,Semiconductors
JYD,Integrated Freight & Logistics
AMRN,Drug Manufacturers—General
ABM,Specialty Business Services
CARV,Banks—Regional
OSIS,Electronic Components
GIS,Packaged Foods
CRSP,Biotechnology
CMPR,Specialty Business Services
UBFO,Banks—Regional
BKD,Medical Care Facilities
SSNC,Software—Application
PWM,Asset Management
STVN,Medical Instruments & Supplies
GDYN,Information Technology Services
PALI,Biotechnology
NWLI,Insurance—Life
KLG,Packaged Foods
BSBK,Banks—Regional
AVBP,Biotechnology
KAVL,Tobacco
BCEL,Biotechnology
RILY,Financial Conglomerates
TIO,Software—Application
BYND,Packaged Foods
MQ,Software—Infrastructure
ELS,REIT—Residential
CCAP,Asset Management
NYCB,Banks—Regional
NSP,Staffing & Employment Services
ARW,Electronics & Computer Distribution
SCRM,Shell Companies
AIHS,Credit Services
MFG,Banks—Regional
INAQ,Shell Companies
SAGA,Unknown
GTHX,Biotechnology
PATH,Software—Infrastructure
VPG,Scientific & Technical Instruments
LUNR,Aerospace & Defense
ITUB,Banks—Regional
RYI,Metal Fabrication
WNS,Information Technology Services
MDT,Medical Devices
POCI,Medical Instruments & Supplies
NGD,Gold
NX,Building Products & Equipment
SOUN,Software—Application
IHT,REIT—Hotel & Motel
MPX,Recreational Vehicles
AHT,REIT—Hotel & Motel
NINE,Oil & Gas Equipment & Services
VIA,Utilities—Regulated Electric
YOTA,Shell Companies
MPLN,Health Information Services
AVGR,Medical Instruments & Supplies
BIOX,Agricultural Inputs
TCBI,Banks—Regional
BRC,Security & Protection Services
CJET,Auto Manufacturers
GAQ,Shell Companies
SGLY,Integrated Freight & Logistics
ABG,Auto & Truck Dealerships
ETSY,Internet Retail
MAMA,Packaged Foods
TBBK,Banks—Regional
AINC,Asset Management
IFF,Specialty Chemicals
CAMP,Communication Equipment
EVE,Shell Companies
CLBK,Banks—Regional
FIGS,Apparel Manufacturing
NET,Software—Infrastructure
ZEPP,Consumer Electronics
SII,Asset Management
CB,Insurance—Property & Casualty
GWAV,Waste Management
FFIE,Auto Manufacturers
MRTN,Trucking
JANX,Biotechnology
ASNS,Communication Equipment
DIT,Food Distribution
CRESY,Conglomerates
ADEA,Software—Application
OXY,Oil & Gas E&P
DDC,Packaged Foods
GSIT,Semiconductors
AVA,Utilities—Diversified
PWP,Capital Markets
OFG,Banks—Regional
RYN,REIT—Specialty
LIQT,Pollution & Treatment Controls
LYTS,Electronic Components
INTU,Software—Application
WORX,Health Information Services
FFWM,Banks—Regional
GLP,Oil & Gas Midstream
LYV,Entertainment
WABC,Banks—Regional
WNC,Farm & Heavy Construction Machinery
PPG,Specialty Chemicals
AEIS,Electrical Equipment & Parts
PRT,Oil & Gas E&P
CCJ,Uranium
BSFC,Packaged Foods
HEES,Rental & Leasing Services
STXS,Medical Instruments & Supplies
MCB,Banks—Regional
FWONA,Entertainment
PAR,Software—Application
WWD,Aerospace & Defense
MDGS,Unknown
NVTA,Unknown
PBR,Oil & Gas Integrated
FLNC,Utilities—Renewable
AUBN,Banks—Regional
SRM,Leisure
PRMW,Beverages—Non-Alcoholic
FINW,Banks—Regional
NCMI,Advertising Agencies
ASTE,Farm & Heavy Construction Machinery
TSAT,Communication Equipment
BXMT,REIT—Mortgage
PETV,Medical Devices
PBT,Oil & Gas Midstream
HD,Home Improvement Retail
GDOT,Credit Services
PHAR,Biotechnology
STZ,Beverages—Wineries & Distilleries
STAA,Medical Instruments & Supplies
SECO,Internet Retail
NR,Oil & Gas Equipment & Services
CPSI,Unknown
LU,Credit Services
ASR,Airports & Air Services
SFIX,Apparel Retail
HCTI,Health Information Services
SOFI,Credit Services
DOX,Software—Infrastructure
RYAAY,Airlines
COCO,Beverages—Non-Alcoholic
HSPO,Shell Companies
FROG,Software—Application
NBY,Biotechnology
NGVC,Grocery Stores
WEC,Utilities—Regulated Electric
GOLD,Gold
XBP,Software—Infrastructure
YMM,Software—Application
CONX,Unknown
WTER,Beverages—Non-Alcoholic
LKCO,Software—Application
HRL,Packaged Foods
CYRX,Integrated Freight & Logistics
GTH,Unknown
LKQ,Auto Parts
MDWD,Biotechnology
FSP,REIT—Office
CRDO,Semiconductors
YTRA,Travel Services
NCNA,Biotechnology
MTA,Other Precious Metals & Mining
APXI,Shell Companies
H,Lodging
CAKE,Restaurants
SAIC,Information Technology Services
UNTY,Banks—Regional
RAPT,Biotechnology
PEB,REIT—Hotel & Motel
ANEB,Biotechnology
ERF,Oil & Gas E&P
SEED,Agricultural Inputs
LXEH,Education & Training Services
MYMD,Biotechnology
CODI,Conglomerates
PRU,Insurance—Life
NVEC,Semiconductors
PLMR,Insurance—Property & Casualty
DCI,Specialty Industrial Machinery
ETN,Specialty Industrial Machinery
SANG,Software—Infrastructure
NXPI,Semiconductors
LC,Credit Services
DIOD,Semiconductors
RCUS,Biotechnology
CHKP,Software—Infrastructure
DSS,Packaging & Containers
WHLM,Specialty Business Services
ICE,Financial Data & Stock Exchanges
INGR,Packaged Foods
ADI,Semiconductors
SHO,REIT—Hotel & Motel
ARAY,Medical Devices
CBNK,Banks—Regional
HNNA,Asset Management
UPWK,Internet Content & Information
TKR,Tools & Accessories
AEL,Unknown
GRFS,Drug Manufacturers—General
SMLR,Medical Devices
RIVN,Auto Manufacturers
PEP,Beverages—Non-Alcoholic
FBNC,Banks—Regional
LESL,Specialty Retail
OCG,Internet Retail
SUNW,Unknown
QD,Credit Services
SCTL,Unknown
